danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.671,0.341,9,-11.833,1,0.319,0.496,0.0,0.126,0.383,80.292,audio_features,4WruZeacJexLZmJ6bufPT4,spotify:track:4WruZeacJexLZmJ6bufPT4,https://api.spotify.com/v1/tracks/4WruZeacJexLZmJ6bufPT4,https://api.spotify.com/v1/audio-analysis/4WruZeacJexLZmJ6bufPT4,150073,4
0.493,0.256,11,-11.735,1,0.0465,0.715,0.00257,0.102,0.0797,108.663,audio_features,1fCynl1EJesWZobfUXOPU8,spotify:track:1fCynl1EJesWZobfUXOPU8,https://api.spotify.com/v1/tracks/1fCynl1EJesWZobfUXOPU8,https://api.spotify.com/v1/audio-analysis/1fCynl1EJesWZobfUXOPU8,161093,4
0.469,0.249,6,-7.258,0,0.0501,0.628,0.000474,0.104,0.305,99.315,audio_features,7kwfdMSWOgmQwXMxSLk0EL,spotify:track:7kwfdMSWOgmQwXMxSLk0EL,https://api.spotify.com/v1/tracks/7kwfdMSWOgmQwXMxSLk0EL,https://api.spotify.com/v1/audio-analysis/7kwfdMSWOgmQwXMxSLk0EL,160032,3
0.874,0.558,5,-9.814,0,0.225,0.731,0.000638,0.106,0.451,118.021,audio_features,5FFUDCkMjxuK6XQZNumN55,spotify:track:5FFUDCkMjxuK6XQZNumN55,https://api.spotify.com/v1/tracks/5FFUDCkMjxuK6XQZNumN55,https://api.spotify.com/v1/audio-analysis/5FFUDCkMjxuK6XQZNumN55,164747,4
0.434,0.436,8,-10.245,1,0.283,0.325,4.06e-05,0.133,0.183,56.182,audio_features,5tKY4IpnowY4jXSsXU16Dj,spotify:track:5tKY4IpnowY4jXSsXU16Dj,https://api.spotify.com/v1/tracks/5tKY4IpnowY4jXSsXU16Dj,https://api.spotify.com/v1/audio-analysis/5tKY4IpnowY4jXSsXU16Dj,190002,4
0.703,0.48,5,-6.586,1,0.235,0.397,1.29e-05,0.129,0.355,79.994,audio_features,1I31JZ3Ag3tmAC40VHV4SX,spotify:track:1I31JZ3Ag3tmAC40VHV4SX,https://api.spotify.com/v1/tracks/1I31JZ3Ag3tmAC40VHV4SX,https://api.spotify.com/v1/audio-analysis/1I31JZ3Ag3tmAC40VHV4SX,180375,4
0.7,0.48,4,-6.093,1,0.224,0.45,0.568,0.106,0.167,81.061,audio_features,2mAKp151cM9eG1iWy5ObDp,spotify:track:2mAKp151cM9eG1iWy5ObDp,https://api.spotify.com/v1/tracks/2mAKp151cM9eG1iWy5ObDp,https://api.spotify.com/v1/audio-analysis/2mAKp151cM9eG1iWy5ObDp,161123,4
0.818,0.522,11,-7.611,0,0.0938,0.781,0.000222,0.263,0.559,105.981,audio_features,3DFTZqtP60pY5CV2YooBeg,spotify:track:3DFTZqtP60pY5CV2YooBeg,https://api.spotify.com/v1/tracks/3DFTZqtP60pY5CV2YooBeg,https://api.spotify.com/v1/audio-analysis/3DFTZqtP60pY5CV2YooBeg,167339,4
0.534,0.274,6,-14.13,0,0.0822,0.392,9.76e-05,0.168,0.0591,75.324,audio_features,2TBZIENp9vpWA80YB2LOeM,spotify:track:2TBZIENp9vpWA80YB2LOeM,https://api.spotify.com/v1/tracks/2TBZIENp9vpWA80YB2LOeM,https://api.spotify.com/v1/audio-analysis/2TBZIENp9vpWA80YB2LOeM,240629,4
0.807,0.56,9,-8.632,0,0.249,0.0933,3.61e-05,0.116,0.516,87.48,audio_features,0oblE8jy4Yj8K8Cdsqo70S,spotify:track:0oblE8jy4Yj8K8Cdsqo70S,https://api.spotify.com/v1/tracks/0oblE8jy4Yj8K8Cdsqo70S,https://api.spotify.com/v1/audio-analysis/0oblE8jy4Yj8K8Cdsqo70S,239520,4
0.671,0.531,4,-7.27,0,0.0333,0.591,0.0,0.154,0.425,79.997,audio_features,1TQzGFslrDynEmGfR30AQt,spotify:track:1TQzGFslrDynEmGfR30AQt,https://api.spotify.com/v1/tracks/1TQzGFslrDynEmGfR30AQt,https://api.spotify.com/v1/audio-analysis/1TQzGFslrDynEmGfR30AQt,220279,4
0.625,0.601,8,-5.068,0,0.0587,0.498,5e-06,0.117,0.276,75.071,audio_features,2BiPDpIgxZVLuP5K19vOci,spotify:track:2BiPDpIgxZVLuP5K19vOci,https://api.spotify.com/v1/tracks/2BiPDpIgxZVLuP5K19vOci,https://api.spotify.com/v1/audio-analysis/2BiPDpIgxZVLuP5K19vOci,266703,4
0.557,0.369,11,-11.368,0,0.245,0.637,0.0505,0.0916,0.396,76.938,audio_features,5AZGJAzWW92us6naHY85uB,spotify:track:5AZGJAzWW92us6naHY85uB,https://api.spotify.com/v1/tracks/5AZGJAzWW92us6naHY85uB,https://api.spotify.com/v1/audio-analysis/5AZGJAzWW92us6naHY85uB,228070,4
